,Team Name,Player Name,Goals Scored,Unnamed: 0,Year,Team Initials,Home Team Goals,Away Team Goals,Total_goals
75,Cameroon,OMAM BIYIK,2,247,1994.0,CMR,2.0,1.0,3.0
76,Cameroon,OMAM BIYIK,2,272,1998.0,CMR,1.0,1.0,2.0
77,Cameroon,OMAM BIYIK,2,302,2002.0,CMR,1.0,1.0,2.0
78,Cameroon,OMAM BIYIK,2,369,2010.0,CMR,2.0,0.0,2.0
79,Cameroon,OMAM BIYIK,2,403,2014.0,CMR,1.0,0.0,1.0
80,Chile,VARGAS,3,4,1930.0,CHL,4.0,1.0,5.0
81,Chile,VARGAS,3,46,1950.0,CHL,5.0,0.0,5.0
82,Chile,VARGAS,3,92,1962.0,CHL,8.0,2.0,10.0
83,Chile,VARGAS,3,108,1966.0,CHL,0.0,2.0,2.0
84,Chile,VARGAS,3,141,1974.0,CHL,1.0,0.0,1.0
85,Chile,VARGAS,3,175,1982.0,CHL,0.0,3.0,3.0
86,Chile,VARGAS,3,271,1998.0,CHL,2.0,3.0,5.0
87,Chile,VARGAS,3,367,2010.0,CHL,2.0,1.0,3.0
88,Chile,VARGAS,3,401,2014.0,CHL,3.0,4.0,7.0
89,Colombia,VALENCIA,6,93,1962.0,COL,0.0,5.0,5.0
90,Colombia,VALENCIA,6,223,1990.0,COL,0.0,4.0,4.0
91,Colombia,VALENCIA,6,248,1994.0,COL,1.0,3.0,4.0
92,Colombia,VALENCIA,6,273,1998.0,COL,1.0,0.0,1.0
93,Colombia,VALENCIA,6,404,2014.0,COL,9.0,6.0,15.0
94,Costa Rica,WRIGHT,3,224,1990.0,CRI,1.0,3.0,4.0
95,Costa Rica,WRIGHT,3,303,2002.0,CRI,3.0,2.0,5.0
96,Costa Rica,WRIGHT,3,335,2006.0,CRI,1.0,2.0,3.0
97,Costa Rica,WRIGHT,3,405,2014.0,CRI,2.0,4.0,6.0
98,Croatia,SRNA,4,274,1998.0,HRV,0.0,11.0,11.0
99,Croatia,SRNA,4,304,2002.0,HRV,0.0,2.0,2.0
100,Croatia,SRNA,4,336,2006.0,HRV,2.0,0.0,2.0
101,Croatia,SRNA,4,406,2014.0,HRV,1.0,5.0,6.0
102,Cuba,Tomas FERNANDEZ,3,31,1938.0,CUB,5.0,0.0,5.0
103,Czech Republic,ROSICKY,2,337,2006.0,CZE,0.0,3.0,3.0
104,Czechoslovakia,Zdenek ZIKAN,6,27,1934.0,,8.0,1.0,9.0
105,Czechoslovakia,Zdenek ZIKAN,6,43,1938.0,,3.0,2.0,5.0
106,Czechoslovakia,Zdenek ZIKAN,6,69,1954.0,,0.0,0.0,0.0
107,Czechoslovakia,Zdenek ZIKAN,6,85,1958.0,,6.0,3.0,9.0
108,Czechoslovakia,Zdenek ZIKAN,6,101,1962.0,,5.0,2.0,7.0
109,Czechoslovakia,Zdenek ZIKAN,6,134,1970.0,,0.0,2.0,2.0
110,Czechoslovakia,Zdenek ZIKAN,6,191,1982.0,,1.0,1.0,2.0
111,Czechoslovakia,Zdenek ZIKAN,6,236,1990.0,,4.0,6.0,10.0
112,Denmark,Thomas HELVEG,4,200,1986.0,DNK,9.0,1.0,10.0
