,Year,Team Initials,Team Name,Home Team Goals,Away Team Goals,Total_goals
113,1966.0,HUN,Hungary,6.0,2.0,8.0
114,1966.0,ITA,Italy,2.0,0.0,2.0
115,1966.0,MEX,Mexico,0.0,1.0,1.0
116,1966.0,POR,Portugal,16.0,1.0,17.0
117,1966.0,PRK,Korea DPR,2.0,3.0,5.0
118,1966.0,SUI,Switzerland,0.0,1.0,1.0
119,1966.0,URS,Soviet Union,8.0,2.0,10.0
120,1966.0,URU,Uruguay,2.0,0.0,2.0
121,1970.0,BEL,Belgium,3.0,1.0,4.0
122,1970.0,BRA,Brazil,19.0,0.0,19.0
123,1970.0,BUL,Bulgaria,1.0,4.0,5.0
124,1970.0,ENG,England,2.0,2.0,4.0
125,1970.0,FRG,Germany FR,14.0,3.0,17.0
126,1970.0,ISR,Israel,0.0,1.0,1.0
127,1970.0,ITA,Italy,9.0,1.0,10.0
128,1970.0,MAR,Morocco,0.0,2.0,2.0
129,1970.0,MEX,Mexico,5.0,1.0,6.0
130,1970.0,PER,Peru,6.0,3.0,9.0
131,1970.0,ROU,Romania,2.0,2.0,4.0
132,1970.0,SLV,El Salvador,0.0,0.0,0.0
133,1970.0,SWE,Sweden,2.0,0.0,2.0
134,1970.0,TCH,Czechoslovakia,0.0,2.0,2.0
135,1970.0,URS,Soviet Union,6.0,0.0,6.0
136,1970.0,URU,Uruguay,3.0,1.0,4.0
137,1974.0,ARG,Argentina,7.0,2.0,9.0
138,1974.0,AUS,Australia,0.0,0.0,0.0
139,1974.0,BRA,Brazil,1.0,5.0,6.0
140,1974.0,BUL,Bulgaria,2.0,0.0,2.0
141,1974.0,CHI,Chile,1.0,0.0,1.0
142,1974.0,FRG,Germany FR,5.0,8.0,13.0
143,1974.0,GDR,German DR,3.0,2.0,5.0
144,1974.0,HAI,Haiti,0.0,2.0,2.0
145,1974.0,ITA,Italy,3.0,2.0,5.0
146,1974.0,NED,Netherlands,7.0,8.0,15.0
147,1974.0,POL,Poland,7.0,9.0,16.0
148,1974.0,SCO,Scotland,1.0,2.0,3.0
149,1974.0,SWE,Sweden,5.0,2.0,7.0
150,1974.0,URU,Uruguay,0.0,1.0,1.0
151,1974.0,YUG,Yugoslavia,9.0,3.0,12.0
152,1974.0,ZAI,Zaire,0.0,0.0,0.0
153,1978.0,ARG,Argentina,15.0,0.0,15.0
154,1978.0,AUT,Austria,6.0,1.0,7.0
155,1978.0,BRA,Brazil,9.0,1.0,10.0
156,1978.0,ESP,Spain,1.0,1.0,2.0
157,1978.0,FRA,France,3.0,2.0,5.0
158,1978.0,FRG,Germany FR,8.0,2.0,10.0
159,1978.0,HUN,Hungary,0.0,3.0,3.0
160,1978.0,IRN,IR Iran,0.0,1.0,1.0
161,1978.0,IRN,Iran,0.0,1.0,1.0
162,1978.0,ITA,Italy,7.0,2.0,9.0
163,1978.0,MEX,Mexico,0.0,2.0,2.0
164,1978.0,NED,Netherlands,10.0,5.0,15.0
165,1978.0,PER,Peru,7.0,0.0,7.0
166,1978.0,POL,Poland,5.0,1.0,6.0
167,1978.0,SCO,Scotland,4.0,1.0,5.0
168,1978.0,SWE,Sweden,1.0,0.0,1.0
169,1978.0,TUN,Tunisia,3.0,0.0,3.0
170,1982.0,ALG,Algeria,3.0,2.0,5.0
171,1982.0,ARG,Argentina,7.0,1.0,8.0
172,1982.0,AUT,Austria,2.0,3.0,5.0
173,1982.0,BEL,Belgium,2.0,1.0,3.0
174,1982.0,BRA,Brazil,10.0,5.0,15.0
175,1982.0,CHI,Chile,0.0,3.0,3.0
176,1982.0,CMR,Cameroon,0.0,1.0,1.0
177,1982.0,ENG,England,6.0,0.0,6.0
178,1982.0,ESP,Spain,3.0,1.0,4.0
179,1982.0,FRA,France,9.0,7.0,16.0
180,1982.0,FRG,Germany FR,11.0,1.0,12.0
181,1982.0,HON,Honduras,1.0,1.0,2.0
182,1982.0,HUN,Hungary,10.0,2.0,12.0
183,1982.0,ITA,Italy,10.0,2.0,12.0
184,1982.0,KUW,Kuwait,0.0,2.0,2.0
185,1982.0,NIR,Northern Ireland,1.0,4.0,5.0
186,1982.0,NZL,New Zealand,0.0,2.0,2.0
187,1982.0,PER,Peru,0.0,2.0,2.0
188,1982.0,POL,Poland,11.0,0.0,11.0
189,1982.0,SCO,Scotland,5.0,3.0,8.0
190,1982.0,SLV,El Salvador,0.0,1.0,1.0
191,1982.0,TCH,Czechoslovakia,1.0,1.0,2.0
192,1982.0,URS,Soviet Union,5.0,2.0,7.0
193,1982.0,YUG,Yugoslavia,0.0,2.0,2.0
194,1986.0,ALG,Algeria,1.0,0.0,1.0
195,1986.0,ARG,Argentina,13.0,1.0,14.0
196,1986.0,BEL,Belgium,1.0,11.0,12.0
197,1986.0,BRA,Brazil,6.0,4.0,10.0
198,1986.0,BUL,Bulgaria,1.0,1.0,2.0
199,1986.0,CAN,Canada,0.0,0.0,0.0
200,1986.0,DEN,Denmark,9.0,1.0,10.0
201,1986.0,ENG,England,6.0,1.0,7.0
202,1986.0,ESP,Spain,1.0,10.0,11.0
203,1986.0,FRA,France,5.0,7.0,12.0
204,1986.0,FRG,Germany FR,2.0,6.0,8.0
205,1986.0,HUN,Hungary,2.0,0.0,2.0
206,1986.0,IRQ,Iraq,1.0,0.0,1.0
207,1986.0,ITA,Italy,1.0,4.0,5.0
208,1986.0,KOR,Korea Republic,3.0,1.0,4.0
209,1986.0,MAR,Morocco,0.0,3.0,3.0
210,1986.0,MEX,Mexico,3.0,3.0,6.0
211,1986.0,NIR,Northern Ireland,1.0,1.0,2.0
212,1986.0,PAR,Paraguay,3.0,1.0,4.0
213,1986.0,POL,Poland,1.0,0.0,1.0
214,1986.0,POR,Portugal,2.0,0.0,2.0
215,1986.0,SCO,Scotland,0.0,1.0,1.0
216,1986.0,URS,Soviet Union,11.0,1.0,12.0
217,1986.0,URU,Uruguay,1.0,1.0,2.0
218,1990.0,ARG,Argentina,3.0,2.0,5.0
219,1990.0,AUT,Austria,2.0,0.0,2.0
220,1990.0,BEL,Belgium,6.0,0.0,6.0
221,1990.0,BRA,Brazil,4.0,0.0,4.0
222,1990.0,CMR,Cameroon,4.0,3.0,7.0
223,1990.0,COL,Colombia,0.0,4.0,4.0
224,1990.0,CRC,Costa Rica,1.0,3.0,4.0
225,1990.0,EGY,Egypt,0.0,1.0,1.0
226,1990.0,ENG,England,6.0,2.0,8.0
227,1990.0,ESP,Spain,1.0,5.0,6.0
228,1990.0,FRG,Germany FR,15.0,0.0,15.0
229,1990.0,IRL,"rn"">Republic of Ireland",1.0,1.0,2.0
230,1990.0,ITA,Italy,10.0,0.0,10.0
231,1990.0,KOR,Korea Republic,1.0,0.0,1.0
232,1990.0,NED,Netherlands,1.0,2.0,3.0
233,1990.0,ROU,Romania,0.0,4.0,4.0
234,1990.0,SCO,Scotland,0.0,2.0,2.0
235,1990.0,SWE,Sweden,2.0,1.0,3.0
236,1990.0,TCH,Czechoslovakia,4.0,6.0,10.0
237,1990.0,UAE,"rn"">United Arab Emirates",0.0,2.0,2.0
238,1990.0,URS,Soviet Union,0.0,4.0,4.0
239,1990.0,URU,Uruguay,0.0,2.0,2.0
240,1990.0,USA,USA,1.0,1.0,2.0
241,1990.0,YUG,Yugoslavia,5.0,3.0,8.0
242,1994.0,ARG,Argentina,6.0,2.0,8.0
243,1994.0,BEL,Belgium,2.0,2.0,4.0
244,1994.0,BOL,Bolivia,1.0,0.0,1.0
245,1994.0,BRA,Brazil,7.0,4.0,11.0
246,1994.0,BUL,Bulgaria,7.0,3.0,10.0
247,1994.0,CMR,Cameroon,2.0,1.0,3.0
248,1994.0,COL,Colombia,1.0,3.0,4.0
249,1994.0,ESP,Spain,5.0,5.0,10.0
250,1994.0,GER,Germany,8.0,1.0,9.0
251,1994.0,GRE,Greece,0.0,0.0,0.0
252,1994.0,IRL,"rn"">Republic of Ireland",0.0,2.0,2.0
253,1994.0,ITA,Italy,4.0,4.0,8.0
254,1994.0,KOR,Korea Republic,0.0,4.0,4.0
255,1994.0,KSA,Saudi Arabia,3.0,2.0,5.0
256,1994.0,MAR,Morocco,1.0,1.0,2.0
257,1994.0,MEX,Mexico,3.0,1.0,4.0
258,1994.0,NED,Netherlands,6.0,2.0,8.0
259,1994.0,NGA,Nigeria,4.0,3.0,7.0
260,1994.0,NOR,Norway,1.0,0.0,1.0
261,1994.0,ROU,Romania,6.0,4.0,10.0
262,1994.0,RUS,Russia,6.0,1.0,7.0
263,1994.0,SUI,Switzerland,0.0,5.0,5.0
264,1994.0,SWE,Sweden,7.0,8.0,15.0
265,1994.0,USA,USA,3.0,0.0,3.0
266,1998.0,ARG,Argentina,9.0,1.0,10.0
267,1998.0,AUT,Austria,0.0,3.0,3.0
268,1998.0,BEL,Belgium,3.0,0.0,3.0
269,1998.0,BRA,Brazil,14.0,0.0,14.0
270,1998.0,BUL,Bulgaria,0.0,1.0,1.0
271,1998.0,CHI,Chile,2.0,3.0,5.0
272,1998.0,CMR,Cameroon,1.0,1.0,2.0
273,1998.0,COL,Colombia,1.0,0.0,1.0
274,1998.0,CRO,Croatia,0.0,11.0,11.0
275,1998.0,DEN,Denmark,0.0,9.0,9.0
276,1998.0,ENG,England,2.0,5.0,7.0
277,1998.0,ESP,Spain,8.0,0.0,8.0
278,1998.0,FRA,France,12.0,3.0,15.0
279,1998.0,GER,Germany,8.0,0.0,8.0
280,1998.0,IRN,Iran,0.0,2.0,2.0
281,1998.0,ITA,Italy,8.0,0.0,8.0
282,1998.0,JAM,Jamaica,1.0,2.0,3.0
283,1998.0,JPN,Japan,1.0,0.0,1.0
284,1998.0,KOR,Korea Republic,1.0,1.0,2.0
285,1998.0,KSA,Saudi Arabia,0.0,2.0,2.0
286,1998.0,MAR,Morocco,2.0,3.0,5.0
287,1998.0,MEX,Mexico,0.0,8.0,8.0
288,1998.0,NED,Netherlands,12.0,1.0,13.0
289,1998.0,NGA,Nigeria,3.0,3.0,6.0
290,1998.0,NOR,Norway,0.0,5.0,5.0
291,1998.0,PAR,Paraguay,0.0,3.0,3.0
292,1998.0,ROU,Romania,4.0,0.0,4.0
293,1998.0,RSA,South Africa,3.0,0.0,3.0
294,1998.0,SCO,Scotland,1.0,1.0,2.0
295,1998.0,TUN,Tunisia,0.0,1.0,1.0
296,1998.0,USA,USA,1.0,0.0,1.0
297,1998.0,YUG,Yugoslavia,1.0,4.0,5.0
298,2002.0,ARG,Argentina,1.0,1.0,2.0
299,2002.0,BEL,Belgium,3.0,3.0,6.0
300,2002.0,BRA,Brazil,9.0,9.0,18.0
301,2002.0,CHN,China PR,0.0,0.0,0.0
302,2002.0,CMR,Cameroon,1.0,1.0,2.0
303,2002.0,CRC,Costa Rica,3.0,2.0,5.0
304,2002.0,CRO,Croatia,0.0,2.0,2.0
305,2002.0,DEN,Denmark,3.0,2.0,5.0
306,2002.0,ECU,Ecuador,1.0,1.0,2.0
307,2002.0,ENG,England,2.0,4.0,6.0
308,2002.0,ESP,Spain,7.0,3.0,10.0
309,2002.0,FRA,France,0.0,0.0,0.0
310,2002.0,GER,Germany,12.0,2.0,14.0
311,2002.0,IRL,"rn"">Republic of Ireland",1.0,5.0,6.0
312,2002.0,ITA,Italy,3.0,2.0,5.0
313,2002.0,JPN,Japan,3.0,2.0,5.0
314,2002.0,KOR,Korea Republic,7.0,1.0,8.0
315,2002.0,KSA,Saudi Arabia,0.0,0.0,0.0
316,2002.0,MEX,Mexico,3.0,1.0,4.0
317,2002.0,NGA,Nigeria,0.0,1.0,1.0
