League,Team,Season,Player
france,Lyon,2014,corentin tolisso
france,Lyon,2014,henri bedimo
france,Lyon,2014,jimmy briand
france,Lyon,2014,jordan ferri
france,Lyon,2014,mathieu gorgelin
france,Lyon,2014,maxime gonalons
france,Lyon,2014,mehdi zeffane
france,Lyon,2014,miguel lopes
france,Lyon,2014,mouhamadou dabo
france,Lyon,2014,nabil fekir
france,Lyon,2014,samuel umtiti
france,Lyon,2014,steed malbranque
france,Lyon,2014,yassine benzia
france,Lyon,2014,yoann gourcuff
germany,Mainz,2014,christoph moritz
germany,Mainz,2014,dani schahin
germany,Mainz,2014,elkin soto
germany,Mainz,2014,johannes geis
germany,Mainz,2014,julian baumgartlinger
germany,Mainz,2014,loris karius
germany,Mainz,2014,niki zimling
germany,Mainz,2014,niko bungert
germany,Mainz,2014,sebastian polter
germany,Mainz,2014,shawn parker
germany,Mainz,2014,shinji okazaki
germany,Mainz,2014,stefan bell
germany,Mainz,2014,todor nedelev
spain,Malaga,2014,casado
spain,Malaga,2014,duda
spain,Malaga,2014,eliseu
spain,Malaga,2014,ezequiel rescaldani
spain,Malaga,2014,francisco portillo
spain,Malaga,2014,juanmi
spain,Malaga,2014,marcos angeleri
spain,Malaga,2014,mounir el hamdaoui
spain,Malaga,2014,pedro morales
spain,Malaga,2014,roque santa cruz
spain,Malaga,2014,sergi darder
spain,Malaga,2014,willy caballero
england,Manchester City,2014,aleksandar kolarov
england,Manchester City,2014,costel pantilimon
england,Manchester City,2014,david silva
england,Manchester City,2014,dedryck boyata
england,Manchester City,2014,fernandinho
england,Manchester City,2014,harrison reed
england,Manchester City,2014,jack rodwell
england,Manchester City,2014,james milner
england,Manchester City,2014,joe hart
england,Manchester City,2014,joleon lescott
england,Manchester City,2014,micah richards
england,Manchester City,2014,pablo zabaleta
england,Manchester City,2014,patrick roberts
england,Manchester City,2014,samir nasri
england,Manchester City,2014,vincent kompany
england,Manchester Utd,2014,adnan januzaj
england,Manchester Utd,2014,anders lindegaard
england,Manchester Utd,2014,antonio valencia
england,Manchester Utd,2014,ashley young
england,Manchester Utd,2014,chris smalling
england,Manchester Utd,2014,danny welbeck
england,Manchester Utd,2014,darren fletcher
england,Manchester Utd,2014,james wilson
england,Manchester Utd,2014,jonny evans
england,Manchester Utd,2014,marouane fellaini
england,Manchester Utd,2014,michael carrick
england,Manchester Utd,2014,nani
