League,Team,Season,Player
france,Toulouse,2014,serge aurier
france,Toulouse,2014,steeve yago
france,Toulouse,2014,wissam ben yedder
france,Toulouse,2014,zacharie boucher
italy,Udinese,2014,allan
italy,Udinese,2014,andrea lazzari
italy,Udinese,2014,bruno fernandes
italy,Udinese,2014,danilo
italy,Udinese,2014,douglas santos
italy,Udinese,2014,emmanuel badu
italy,Udinese,2014,gabriel silva
italy,Udinese,2014,giampiero pinzi
italy,Udinese,2014,hassan yebda
italy,Udinese,2014,luis muriel
italy,Udinese,2014,naldo
italy,Udinese,2014,roberto pereyra
italy,Udinese,2014,silvan widmer
italy,Udinese,2014,simone scuffet
