Place,Team,GP,W,D,L,GF,GA,GD,P,Year,League
5,SOC,38,17,13,8,46,31,15,64,2002,French Ligue 1
6,AUX,38,18,10,10,38,29,9,64,2002,French Ligue 1
7,EAG,38,19,5,14,59,46,13,62,2002,French Ligue 1
8,RCL,38,14,15,9,43,31,12,57,2002,French Ligue 1
9,NANT,38,16,8,14,37,39,-2,56,2002,French Ligue 1
10,NICE,38,13,16,9,39,31,8,55,2002,French Ligue 1
11,PSG,38,14,12,12,47,36,11,54,2002,French Ligue 1
12,BAS,38,12,11,15,40,48,-8,47,2002,French Ligue 1
13,STRA,38,11,12,15,40,54,-14,45,2002,French Ligue 1
14,LILL,38,10,12,16,29,44,-15,42,2002,French Ligue 1
15,REN,38,10,10,18,35,45,-10,40,2002,French Ligue 1
16,MONT,38,10,10,18,37,54,-17,40,2002,French Ligue 1
17,AJC,38,9,12,17,29,49,-20,39,2002,French Ligue 1
18,HAC,38,10,8,20,27,47,-20,38,2002,French Ligue 1
19,SED,38,9,9,20,41,59,-18,36,2002,French Ligue 1
20,TRY,38,7,10,21,23,48,-25,31,2002,French Ligue 1
1,LYON,38,24,7,7,64,26,38,79,2003,French Ligue 1
2,PSG,38,22,10,6,50,28,22,76,2003,French Ligue 1
3,MON,38,21,12,5,59,30,29,75,2003,French Ligue 1
4,AUX,38,19,8,11,60,34,26,65,2003,French Ligue 1
5,SOC,38,18,9,11,54,42,12,63,2003,French Ligue 1
6,NANT,38,17,9,12,47,35,12,60,2003,French Ligue 1
7,MAR,38,17,6,15,51,45,6,57,2003,French Ligue 1
8,RCL,38,15,8,15,34,48,-14,53,2003,French Ligue 1
9,REN,38,14,10,14,56,44,12,52,2003,French Ligue 1
10,LILL,38,14,9,15,41,41,0,51,2003,French Ligue 1
11,NICE,38,11,17,10,42,39,3,50,2003,French Ligue 1
12,BOR,38,13,11,14,40,43,-3,50,2003,French Ligue 1
13,STRA,38,10,13,15,43,50,-7,43,2003,French Ligue 1
14,METZ,38,11,9,18,34,42,-8,42,2003,French Ligue 1
15,AJC,38,10,10,18,33,55,-22,40,2003,French Ligue 1
16,TOUL,38,9,12,17,31,44,-13,39,2003,French Ligue 1
17,BAS,38,9,12,17,33,49,-16,39,2003,French Ligue 1
18,EAG,38,10,8,20,36,58,-22,38,2003,French Ligue 1
19,MNS,38,9,11,18,35,57,-22,38,2003,French Ligue 1
20,MONT,38,8,7,23,41,74,-33,31,2003,French Ligue 1
1,LYON,38,22,13,3,56,22,34,79,2004,French Ligue 1
2,LILL,38,18,13,7,52,29,23,67,2004,French Ligue 1
3,MON,38,15,18,5,52,35,17,63,2004,French Ligue 1
4,REN,38,15,10,13,49,42,7,55,2004,French Ligue 1
5,MAR,38,15,10,13,47,42,5,55,2004,French Ligue 1
6,ASSE,38,12,17,9,47,34,13,53,2004,French Ligue 1
7,RCL,38,13,13,12,45,39,6,52,2004,French Ligue 1
8,AUX,38,14,10,14,48,47,1,52,2004,French Ligue 1
9,PSG,38,12,15,11,40,41,-1,51,2004,French Ligue 1
10,SOC,38,13,11,14,42,41,1,50,2004,French Ligue 1
11,STRA,38,12,12,14,42,43,-1,48,2004,French Ligue 1
12,NICE,38,10,16,12,38,45,-7,46,2004,French Ligue 1
13,TOUL,38,12,10,16,36,43,-7,46,2004,French Ligue 1
14,AJC,38,10,15,13,36,40,-4,45,2004,French Ligue 1
15,BOR,38,8,20,10,37,41,-4,44,2004,French Ligue 1
16,METZ,38,10,14,14,33,45,-12,44,2004,French Ligue 1
17,NANT,38,10,13,15,33,38,-5,43,2004,French Ligue 1
18,CAN,38,10,12,16,36,60,-24,42,2004,French Ligue 1
19,BAS,38,11,8,19,32,48,-16,41,2004,French Ligue 1
20,IST,38,6,14,18,25,51,-26,32,2004,French Ligue 1
1,LYON,38,25,9,4,73,31,42,84,2005,French Ligue 1
2,BOR,38,18,15,5,43,25,18,69,2005,French Ligue 1
3,LILL,38,16,14,8,56,31,25,62,2005,French Ligue 1
4,RCL,38,14,18,6,48,34,14,60,2005,French Ligue 1
5,MAR,38,16,12,10,44,35,9,60,2005,French Ligue 1
6,AUX,38,17,8,13,50,39,11,59,2005,French Ligue 1
7,REN,38,18,5,15,48,49,-1,59,2005,French Ligue 1
8,NICE,38,16,10,12,36,31,5,58,2005,French Ligue 1
9,PSG,38,13,13,12,44,38,6,52,2005,French Ligue 1
10,MON,38,13,13,12,42,36,6,52,2005,French Ligue 1
11,MNS,38,13,13,12,33,36,-3,52,2005,French Ligue 1
12,ASNL,38,12,12,14,35,37,-2,48,2005,French Ligue 1
13,ASSE,38,11,14,13,29,39,-10,47,2005,French Ligue 1
14,NANT,38,11,12,15,37,41,-4,45,2005,French Ligue 1
15,SOC,38,11,11,16,34,47,-13,44,2005,French Ligue 1
16,TOUL,38,10,11,17,36,47,-11,41,2005,French Ligue 1
17,TRY,38,9,12,17,37,47,-10,39,2005,French Ligue 1
18,AJC,38,8,9,21,27,53,-26,33,2005,French Ligue 1
19,STRA,38,5,14,19,33,56,-23,29,2005,French Ligue 1
20,METZ,38,6,11,21,26,59,-33,29,2005,French Ligue 1
1,LYON,38,24,9,5,64,27,37,81,2006,French Ligue 1
2,MAR,38,19,7,12,53,38,15,64,2006,French Ligue 1
3,TOUL,38,17,7,14,44,43,1,58,2006,French Ligue 1
4,REN,38,14,15,9,38,30,8,57,2006,French Ligue 1
5,RCL,38,15,12,11,47,41,6,57,2006,French Ligue 1
6,BOR,38,16,9,13,39,35,4,57,2006,French Ligue 1
7,SOC,38,15,12,11,46,48,-2,57,2006,French Ligue 1
8,AUX,38,13,15,10,41,41,0,54,2006,French Ligue 1
9,MON,38,13,12,13,45,38,7,51,2006,French Ligue 1
10,LILL,38,13,11,14,45,43,2,50,2006,French Ligue 1
11,ASSE,38,14,7,17,52,50,2,49,2006,French Ligue 1
12,MNS,38,11,16,11,45,46,-1,49,2006,French Ligue 1
13,ASNL,38,13,10,15,37,44,-7,49,2006,French Ligue 1
14,LOR,38,12,13,13,33,40,-7,49,2006,French Ligue 1
15,PSG,38,12,12,14,42,42,0,48,2006,French Ligue 1
16,NICE,38,9,16,13,34,40,-6,43,2006,French Ligue 1
17,VAFC,38,11,10,17,36,48,-12,43,2006,French Ligue 1
18,TRY,38,9,12,17,39,54,-15,39,2006,French Ligue 1
19,SED,38,7,14,17,46,58,-12,35,2006,French Ligue 1
20,NANT,38,7,13,18,29,49,-20,34,2006,French Ligue 1
1,LYON,38,24,7,7,74,37,37,79,2007,French Ligue 1
2,BOR,38,22,9,7,65,38,27,75,2007,French Ligue 1
3,MAR,38,17,11,10,58,45,13,62,2007,French Ligue 1
4,ASNL,38,15,15,8,44,30,14,60,2007,French Ligue 1
5,ASSE,38,16,10,12,47,34,13,58,2007,French Ligue 1
6,REN,38,16,10,12,47,44,3,58,2007,French Ligue 1
7,LILL,38,13,18,7,45,32,13,57,2007,French Ligue 1
8,NICE,38,13,16,9,35,30,5,55,2007,French Ligue 1
9,MNS,38,14,11,13,46,49,-3,53,2007,French Ligue 1
10,LOR,38,12,16,10,32,35,-3,52,2007,French Ligue 1
11,CAN,38,13,12,13,48,53,-5,51,2007,French Ligue 1
12,MON,38,13,8,17,40,48,-8,47,2007,French Ligue 1
13,VAFC,38,12,9,17,42,40,2,45,2007,French Ligue 1
14,SOC,38,10,14,14,34,43,-9,44,2007,French Ligue 1
15,AUX,38,12,8,18,33,52,-19,44,2007,French Ligue 1
16,PSG,38,10,13,15,37,45,-8,43,2007,French Ligue 1
17,TOUL,38,9,15,14,36,42,-6,42,2007,French Ligue 1
18,RCL,38,9,13,16,43,52,-9,40,2007,French Ligue 1
19,STRA,38,9,8,21,34,55,-21,35,2007,French Ligue 1
20,METZ,38,5,9,24,28,64,-36,24,2007,French Ligue 1
1,BOR,38,24,8,6,64,34,30,80,2008,French Ligue 1
2,MAR,38,22,11,5,67,35,32,77,2008,French Ligue 1
3,LYON,38,20,11,7,52,29,23,71,2008,French Ligue 1
4,TOUL,38,16,16,6,45,27,18,64,2008,French Ligue 1
5,LILL,38,17,13,8,51,39,12,64,2008,French Ligue 1
6,PSG,38,19,7,12,49,38,11,64,2008,French Ligue 1
7,REN,38,15,16,7,42,34,8,61,2008,French Ligue 1
8,AUX,38,16,7,15,35,35,0,55,2008,French Ligue 1
9,NICE,38,13,11,14,40,41,-1,50,2008,French Ligue 1
10,LOR,38,10,15,13,47,47,0,45,2008,French Ligue 1
11,MON,38,11,12,15,41,45,-4,45,2008,French Ligue 1
12,VAFC,38,10,14,14,35,42,-7,44,2008,French Ligue 1
13,GRE,38,10,14,14,24,37,-13,44,2008,French Ligue 1
14,SOC,38,10,12,16,40,48,-8,42,2008,French Ligue 1
15,ASNL,38,10,12,16,38,47,-9,42,2008,French Ligue 1
16,MNS,38,10,10,18,43,54,-11,40,2008,French Ligue 1
17,ASSE,38,11,7,20,40,56,-16,40,2008,French Ligue 1
18,CAN,38,8,13,17,42,49,-7,37,2008,French Ligue 1
19,NANT,38,9,10,19,33,54,-21,37,2008,French Ligue 1
20,HAC,38,7,5,26,30,67,-37,26,2008,French Ligue 1
1,MAR,38,23,9,6,69,36,33,78,2009,French Ligue 1
2,LYON,38,20,12,6,64,38,26,72,2009,French Ligue 1
3,AUX,38,20,11,7,42,29,13,71,2009,French Ligue 1
4,LILL,38,21,7,10,72,40,32,70,2009,French Ligue 1
5,MONT,38,20,9,9,50,40,10,69,2009,French Ligue 1
6,BOR,38,19,7,12,58,40,18,64,2009,French Ligue 1
7,LOR,38,16,10,12,54,42,12,58,2009,French Ligue 1
8,MON,38,15,10,13,39,45,-6,55,2009,French Ligue 1
9,REN,38,14,11,13,52,41,11,53,2009,French Ligue 1
10,VAFC,38,14,10,14,50,50,0,52,2009,French Ligue 1
11,RCL,38,12,12,14,40,44,-4,48,2009,French Ligue 1
12,ASNL,38,13,9,16,46,53,-7,48,2009,French Ligue 1
13,PSG,38,12,11,15,50,46,4,47,2009,French Ligue 1
14,TOUL,38,12,11,15,36,36,0,47,2009,French Ligue 1
15,NICE,38,11,11,16,41,57,-16,44,2009,French Ligue 1
16,SOC,38,11,8,19,28,52,-24,41,2009,French Ligue 1
17,ASSE,38,10,10,18,27,45,-18,40,2009,French Ligue 1
18,MNS,38,8,8,22,36,59,-23,32,2009,French Ligue 1
19,BOU,38,7,10,21,31,62,-31,31,2009,French Ligue 1
20,GRE,38,5,8,25,31,61,-30,23,2009,French Ligue 1
1,LILL,38,21,13,4,68,36,32,76,2010,French Ligue 1
2,MAR,38,18,14,6,62,39,23,68,2010,French Ligue 1
3,LYON,38,17,13,8,61,40,21,64,2010,French Ligue 1
4,PSG,38,15,15,8,56,41,15,60,2010,French Ligue 1
5,SOC,38,17,7,14,60,43,17,58,2010,French Ligue 1
6,REN,38,15,11,12,38,35,3,56,2010,French Ligue 1
7,BOR,38,12,15,11,43,42,1,51,2010,French Ligue 1
8,TOUL,38,14,8,16,38,36,2,50,2010,French Ligue 1
9,AUX,38,10,19,9,45,41,4,49,2010,French Ligue 1
10,ASSE,38,12,13,13,46,47,-1,49,2010,French Ligue 1
11,LOR,38,12,13,13,46,48,-2,49,2010,French Ligue 1
12,VAFC,38,10,18,10,45,41,4,48,2010,French Ligue 1
13,ASNL,38,13,9,16,43,48,-5,48,2010,French Ligue 1
14,MONT,38,12,11,15,32,43,-11,47,2010,French Ligue 1
15,CAN,38,11,13,14,46,51,-5,46,2010,French Ligue 1
16,BRES,38,11,13,14,36,43,-7,46,2010,French Ligue 1
17,NICE,38,11,13,14,33,48,-15,46,2010,French Ligue 1
18,MON,38,9,17,12,36,40,-4,44,2010,French Ligue 1
19,RCL,38,7,14,17,35,58,-23,35,2010,French Ligue 1
20,ARL,38,3,11,24,21,70,-49,20,2010,French Ligue 1
1,MONT,38,25,7,6,68,34,34,82,2011,French Ligue 1
2,PSG,38,23,10,5,75,41,34,79,2011,French Ligue 1
3,LILL,38,21,11,6,72,39,33,74,2011,French Ligue 1
4,LYON,38,19,7,12,64,51,13,64,2011,French Ligue 1
5,BOR,38,16,13,9,53,41,12,61,2011,French Ligue 1
6,REN,38,17,9,12,53,44,9,60,2011,French Ligue 1
7,ASSE,38,16,9,13,49,45,4,57,2011,French Ligue 1
8,TOUL,38,15,11,12,37,34,3,56,2011,French Ligue 1
9,EVN,38,13,11,14,54,55,-1,50,2011,French Ligue 1
10,MAR,38,12,12,14,45,41,4,48,2011,French Ligue 1
11,ASNL,38,11,12,15,38,48,-10,45,2011,French Ligue 1
12,VAFC,38,12,7,19,40,50,-10,43,2011,French Ligue 1
13,NICE,38,10,12,16,39,46,-7,42,2011,French Ligue 1
14,SOC,38,11,9,18,40,60,-20,42,2011,French Ligue 1
15,BRES,38,8,17,13,31,38,-7,41,2011,French Ligue 1
16,AJC,38,9,14,15,40,61,-21,41,2011,French Ligue 1
17,LOR,38,9,12,17,35,49,-14,39,2011,French Ligue 1
18,CAN,38,9,11,18,39,59,-20,38,2011,French Ligue 1
19,DIJO,38,9,9,20,38,63,-25,36,2011,French Ligue 1
20,AUX,38,7,13,18,46,57,-11,34,2011,French Ligue 1
1,PSG,38,25,8,5,69,23,46,83,2012,French Ligue 1
2,MAR,38,21,8,9,42,36,6,71,2012,French Ligue 1
3,LYON,38,19,10,9,61,38,23,67,2012,French Ligue 1
4,NICE,38,18,10,10,57,46,11,64,2012,French Ligue 1
5,ASSE,38,16,15,7,60,32,28,63,2012,French Ligue 1
6,LILL,38,16,14,8,59,40,19,62,2012,French Ligue 1
7,BOR,38,13,16,9,40,34,6,55,2012,French Ligue 1
8,LOR,38,14,11,13,57,58,-1,53,2012,French Ligue 1
9,MONT,38,15,7,16,54,51,3,52,2012,French Ligue 1
10,TOUL,38,13,12,13,49,47,2,51,2012,French Ligue 1
11,VAFC,38,12,12,14,49,53,-4,48,2012,French Ligue 1
12,BAS,38,13,8,17,50,66,-16,47,2012,French Ligue 1
13,REN,38,13,7,18,48,59,-11,46,2012,French Ligue 1
14,REIM,38,10,13,15,33,42,-9,43,2012,French Ligue 1
15,SOC,38,10,11,17,41,57,-16,41,2012,French Ligue 1
16,EVN,38,10,10,18,46,53,-7,40,2012,French Ligue 1
17,AJC,38,9,15,14,39,51,-12,40,2012,French Ligue 1
18,ASNL,38,9,11,18,38,58,-20,38,2012,French Ligue 1
19,TRY,38,8,13,17,43,61,-18,37,2012,French Ligue 1
20,BRES,38,8,5,25,32,62,-30,29,2012,French Ligue 1
1,PSG,38,27,8,3,84,23,61,89,2013,French Ligue 1
2,MON,38,23,11,4,63,31,32,80,2013,French Ligue 1
3,LILL,38,20,11,7,46,26,20,71,2013,French Ligue 1
4,ASSE,38,20,9,9,56,34,22,69,2013,French Ligue 1
5,LYON,38,17,10,11,56,44,12,61,2013,French Ligue 1
6,MAR,38,16,12,10,53,40,13,60,2013,French Ligue 1
7,BOR,38,13,14,11,49,43,6,53,2013,French Ligue 1
8,LOR,38,13,10,15,48,53,-5,49,2013,French Ligue 1
9,TOUL,38,12,13,13,46,53,-7,49,2013,French Ligue 1
10,BAS,38,13,10,15,42,56,-14,49,2013,French Ligue 1
11,REIM,38,12,12,14,44,52,-8,48,2013,French Ligue 1
12,REN,38,11,13,14,47,45,2,46,2013,French Ligue 1
13,NANT,38,12,10,16,38,43,-5,46,2013,French Ligue 1
14,EVN,38,11,11,16,39,51,-12,44,2013,French Ligue 1
15,MONT,38,8,18,12,45,53,-8,42,2013,French Ligue 1
16,EAG,38,11,9,18,34,42,-8,42,2013,French Ligue 1
17,NICE,38,12,6,20,30,44,-14,42,2013,French Ligue 1
18,SOC,38,10,10,18,37,61,-24,40,2013,French Ligue 1
19,VAFC,38,7,8,23,37,65,-28,29,2013,French Ligue 1
20,AJC,38,4,11,23,37,72,-35,23,2013,French Ligue 1
1,PSG,38,24,11,3,83,36,47,83,2014,French Ligue 1
2,LYON,38,22,9,7,72,33,39,75,2014,French Ligue 1
3,MON,38,20,11,7,51,26,25,71,2014,French Ligue 1
4,MAR,38,21,6,11,76,42,34,69,2014,French Ligue 1
5,ASSE,38,19,12,7,51,30,21,69,2014,French Ligue 1
6,BOR,38,17,12,9,47,44,3,63,2014,French Ligue 1
7,MONT,38,16,8,14,46,39,7,56,2014,French Ligue 1
8,LILL,38,16,8,14,43,42,1,56,2014,French Ligue 1
9,REN,38,13,11,14,35,42,-7,50,2014,French Ligue 1
10,EAG,38,15,4,19,41,55,-14,49,2014,French Ligue 1
11,NICE,38,13,9,16,44,53,-9,48,2014,French Ligue 1
12,BAS,38,12,11,15,37,46,-9,47,2014,French Ligue 1
13,CAN,38,12,10,16,54,55,-1,46,2014,French Ligue 1
14,NANT,38,11,12,15,29,40,-11,45,2014,French Ligue 1
15,REIM,38,12,8,18,47,66,-19,44,2014,French Ligue 1
16,LOR,38,12,7,19,44,50,-6,43,2014,French Ligue 1
17,TOUL,38,12,6,20,43,64,-21,42,2014,French Ligue 1
18,EVN,38,11,4,23,41,62,-21,37,2014,French Ligue 1
19,METZ,38,7,9,22,31,61,-30,30,2014,French Ligue 1
20,RCL,38,7,8,23,32,61,-29,29,2014,French Ligue 1
1,PSG,38,30,6,2,102,19,83,96,2015,French Ligue 1
2,LYON,38,19,8,11,67,43,24,65,2015,French Ligue 1
3,MON,38,17,14,7,57,50,7,65,2015,French Ligue 1
4,NICE,38,18,9,11,58,41,17,63,2015,French Ligue 1
5,LILL,38,15,15,8,39,27,12,60,2015,French Ligue 1
6,ASSE,38,17,7,14,42,37,5,58,2015,French Ligue 1
7,CAN,38,16,6,16,39,52,-13,54,2015,French Ligue 1
8,REN,38,13,13,12,52,54,-2,52,2015,French Ligue 1
9,ANG,38,13,11,14,40,38,2,50,2015,French Ligue 1
10,BAS,38,14,8,16,36,42,-6,50,2015,French Ligue 1
11,BOR,38,12,14,12,50,57,-7,50,2015,French Ligue 1
12,MONT,38,14,7,17,49,47,2,49,2015,French Ligue 1
13,MAR,38,10,18,10,48,42,6,48,2015,French Ligue 1
14,NANT,38,12,12,14,33,44,-11,48,2015,French Ligue 1
15,LOR,38,11,13,14,47,58,-11,46,2015,French Ligue 1
16,EAG,38,11,11,16,47,56,-9,44,2015,French Ligue 1
17,TOUL,38,9,13,16,45,55,-10,40,2015,French Ligue 1
18,REIM,38,10,9,19,44,57,-13,39,2015,French Ligue 1
19,GFC,38,8,13,17,37,58,-21,37,2015,French Ligue 1
20,TRY,38,3,9,26,28,83,-55,18,2015,French Ligue 1
1,MON,38,30,5,3,107,31,76,95,2016,French Ligue 1
2,PSG,38,27,6,5,83,27,56,87,2016,French Ligue 1
3,NICE,38,22,12,4,63,36,27,78,2016,French Ligue 1
4,LYON,38,21,4,13,77,48,29,67,2016,French Ligue 1
5,MAR,38,17,11,10,57,41,16,62,2016,French Ligue 1
6,BOR,38,15,14,9,53,43,10,59,2016,French Ligue 1
7,NANT,38,14,9,15,40,54,-14,51,2016,French Ligue 1
8,ASSE,38,12,14,12,41,42,-1,50,2016,French Ligue 1
9,REN,38,12,14,12,36,42,-6,50,2016,French Ligue 1
10,EAG,38,14,8,16,46,53,-7,50,2016,French Ligue 1
11,LILL,38,13,7,18,40,47,-7,46,2016,French Ligue 1
12,ANG,38,13,7,18,40,49,-9,46,2016,French Ligue 1
13,TOUL,38,10,14,14,37,41,-4,44,2016,French Ligue 1
14,METZ,38,11,10,17,39,72,-33,43,2016,French Ligue 1
15,MONT,38,10,9,19,48,66,-18,39,2016,French Ligue 1
16,DIJO,38,8,13,17,46,58,-12,37,2016,French Ligue 1
17,CAN,38,10,7,21,36,65,-29,37,2016,French Ligue 1
18,LOR,38,10,6,22,44,70,-26,36,2016,French Ligue 1
19,ASNL,38,9,8,21,29,52,-23,35,2016,French Ligue 1
20,BAS,38,8,10,20,29,54,-25,34,2016,French Ligue 1
1,PSG,38,29,6,3,108,29,79,93,2017,French Ligue 1
2,MON,38,24,8,6,85,45,40,80,2017,French Ligue 1
3,LYON,38,23,9,6,87,43,44,78,2017,French Ligue 1
4,MAR,38,22,11,5,80,47,33,77,2017,French Ligue 1
5,REN,38,16,10,12,50,44,6,58,2017,French Ligue 1
6,BOR,38,16,7,15,53,48,5,55,2017,French Ligue 1
7,ASSE,38,15,10,13,47,50,-3,55,2017,French Ligue 1
8,NICE,38,15,9,14,53,52,1,54,2017,French Ligue 1
9,NANT,38,14,10,14,36,41,-5,52,2017,French Ligue 1
10,MONT,38,11,18,9,36,33,3,51,2017,French Ligue 1
11,DIJO,38,13,9,16,55,73,-18,48,2017,French Ligue 1
12,EAG,38,12,11,15,48,59,-11,47,2017,French Ligue 1
13,AMI,38,12,9,17,37,42,-5,45,2017,French Ligue 1
14,ANG,38,9,14,15,42,52,-10,41,2017,French Ligue 1
15,STRA,38,9,11,18,44,67,-23,38,2017,French Ligue 1
16,CAN,38,10,8,20,27,52,-25,38,2017,French Ligue 1
17,LILL,38,10,8,20,41,67,-26,38,2017,French Ligue 1
18,TOUL,38,9,10,19,38,54,-16,37,2017,French Ligue 1
19,TRY,38,9,6,23,32,59,-27,33,2017,French Ligue 1
20,METZ,38,6,8,24,34,76,-42,26,2017,French Ligue 1
1,PSG,38,29,4,5,105,35,70,91,2018,French Ligue 1
2,LILL,38,22,9,7,68,33,35,75,2018,French Ligue 1
3,LYON,38,21,9,8,70,47,23,72,2018,French Ligue 1
4,ASSE,38,19,9,10,59,41,18,66,2018,French Ligue 1
5,MAR,38,18,7,13,60,52,8,61,2018,French Ligue 1
6,MONT,38,15,14,9,53,42,11,59,2018,French Ligue 1
7,NICE,38,15,11,12,30,35,-5,56,2018,French Ligue 1
8,REIM,38,13,16,9,39,42,-3,55,2018,French Ligue 1
9,NIM,38,15,8,15,57,58,-1,53,2018,French Ligue 1
10,REN,38,13,13,12,55,52,3,52,2018,French Ligue 1
11,STRA,38,11,16,11,58,48,10,49,2018,French Ligue 1
12,NANT,38,13,9,16,48,48,0,48,2018,French Ligue 1
13,ANG,38,10,16,12,44,49,-5,46,2018,French Ligue 1
14,BOR,38,10,11,17,34,42,-8,41,2018,French Ligue 1
15,AMI,38,9,11,18,31,52,-21,38,2018,French Ligue 1
16,TOUL,38,8,14,16,35,57,-22,38,2018,French Ligue 1
17,MON,38,8,12,18,38,57,-19,36,2018,French Ligue 1
18,DIJO,38,9,7,22,31,60,-29,34,2018,French Ligue 1
19,CAN,38,7,12,19,29,54,-25,33,2018,French Ligue 1
20,EAG,38,5,12,21,28,68,-40,27,2018,French Ligue 1
1,PSG,27,22,2,3,75,24,51,68,2019,French Ligue 1
2,MAR,28,16,8,4,41,29,12,56,2019,French Ligue 1
3,REN,28,15,5,8,38,24,14,50,2019,French Ligue 1
4,LILL,28,15,4,9,35,27,8,49,2019,French Ligue 1
5,NICE,28,11,8,9,41,38,3,41,2019,French Ligue 1
6,REIM,28,10,11,7,26,21,5,41,2019,French Ligue 1
7,LYON,28,11,7,10,42,27,15,40,2019,French Ligue 1
8,MONT,28,11,7,10,35,34,1,40,2019,French Ligue 1
9,MON,28,11,7,10,44,44,0,40,2019,French Ligue 1
10,STRA,27,11,5,11,32,32,0,38,2019,French Ligue 1
11,ANG,28,11,6,11,28,33,-5,39,2019,French Ligue 1
12,BOR,28,9,10,9,40,34,6,37,2019,French Ligue 1
13,NANT,28,11,4,13,28,31,-3,37,2019,French Ligue 1
14,BRES,28,8,10,10,34,37,-3,34,2019,French Ligue 1
15,METZ,28,8,10,10,27,35,-8,34,2019,French Ligue 1
16,DIJO,28,7,9,12,27,37,-10,30,2019,French Ligue 1
17,ASSE,28,8,6,14,29,45,-16,30,2019,French Ligue 1
18,NIM,28,7,6,15,29,44,-15,27,2019,French Ligue 1
19,AMI,28,4,11,13,31,50,-19,23,2019,French Ligue 1
20,TOUL,28,3,4,21,22,58,-36,13,2019,French Ligue 1
1,LILL,38,24,11,3,64,23,41,83,2020,French Ligue 1
2,PSG,38,26,4,8,86,28,58,82,2020,French Ligue 1
3,MON,38,24,6,8,76,42,34,78,2020,French Ligue 1
4,LYON,38,22,10,6,81,43,38,76,2020,French Ligue 1
5,MAR,38,16,12,10,54,47,7,60,2020,French Ligue 1
6,REN,38,16,10,12,52,40,12,58,2020,French Ligue 1
7,RCL,38,15,12,11,55,54,1,57,2020,French Ligue 1
8,MONT,38,14,12,12,60,62,-2,54,2020,French Ligue 1
9,NICE,38,15,7,16,50,53,-3,52,2020,French Ligue 1
10,METZ,38,12,11,15,44,48,-4,47,2020,French Ligue 1
11,ASSE,38,12,10,16,42,54,-12,46,2020,French Ligue 1
12,BOR,38,13,6,19,42,56,-14,45,2020,French Ligue 1
13,ANG,38,12,8,18,40,58,-18,44,2020,French Ligue 1
14,REIM,38,9,15,14,42,50,-8,42,2020,French Ligue 1
15,STRA,38,11,9,18,49,58,-9,42,2020,French Ligue 1
16,LOR,38,11,9,18,50,68,-18,42,2020,French Ligue 1
17,BRES,38,11,8,19,50,66,-16,41,2020,French Ligue 1
18,NANT,38,9,13,16,47,55,-8,40,2020,French Ligue 1
19,NIM,38,9,8,21,40,71,-31,35,2020,French Ligue 1
20,DIJO,38,4,9,25,25,73,-48,21,2020,French Ligue 1
1,PSG,37,25,8,4,85,36,49,83,2021,French Ligue 1
2,MON,37,20,8,9,63,38,25,68,2021,French Ligue 1
3,MAR,37,20,8,9,59,38,21,68,2021,French Ligue 1
4,REN,37,20,5,12,80,38,42,65,2021,French Ligue 1
5,STRA,37,17,12,8,60,39,21,63,2021,French Ligue 1
6,NICE,37,19,7,11,49,34,15,63,2021,French Ligue 1
7,RCL,37,17,10,10,60,46,14,61,2021,French Ligue 1
8,LYON,37,16,11,10,64,50,14,58,2021,French Ligue 1
9,NANT,37,15,9,13,54,47,7,54,2021,French Ligue 1
10,LILL,37,14,12,11,46,46,0,54,2021,French Ligue 1
11,BRES,37,13,9,15,47,53,-6,48,2021,French Ligue 1
12,REIM,37,11,13,13,41,41,0,46,2021,French Ligue 1
13,MONT,37,12,7,18,49,59,-10,43,2021,French Ligue 1
14,ANG,37,9,11,17,42,55,-13,38,2021,French Ligue 1
15,TRY,37,9,10,18,36,52,-16,37,2021,French Ligue 1
16,CLER,37,9,9,19,37,67,-30,36,2021,French Ligue 1
17,LOR,37,8,11,18,34,62,-28,35,2021,French Ligue 1
18,METZ,37,6,13,18,35,64,-29,31,2021,French Ligue 1
19,ASSE,37,7,10,20,41,76,-35,31,2021,French Ligue 1
20,BOR,37,5,13,19,48,89,-41,28,2021,French Ligue 1
